"","culmen_length_mm","body_mass_g"
"1",39.1,3750
"2",39.5,3800
"3",40.3,3250
"4",36.7,3450
"5",39.3,3650
"6",38.9,3625
"7",39.2,4675
"8",34.1,3475
"9",42,4250
"10",37.8,3300
"11",37.8,3700
"12",41.1,3200
"13",38.6,3800
"14",34.6,4400
"15",36.6,3700
"16",38.7,3450
"17",42.5,4500
"18",34.4,3325
"19",46,4200
"20",37.8,3400
"21",37.7,3600
"22",35.9,3800
"23",38.2,3950
"24",38.8,3800
"25",35.3,3800
"26",40.6,3550
"27",40.5,3200
"28",37.9,3150
"29",40.5,3950
"30",39.5,3250
"31",37.2,3900
"32",39.5,3300
"33",40.9,3900
"34",36.4,3325
"35",39.2,4150
"36",38.8,3950
"37",42.2,3550
"38",37.6,3300
"39",39.8,4650
"40",36.5,3150
"41",40.8,3900
"42",36,3100
"43",44.1,4400
"44",37,3000
"45",39.6,4600
"46",41.1,3425
"47",37.5,2975
"48",36,3450
"49",42.3,4150
"50",39.6,3500
"51",40.1,4300
"52",35,3450
"53",42,4050
"54",34.5,2900
"55",41.4,3700
"56",39,3550
"57",40.6,3800
"58",36.5,2850
"59",37.6,3750
"60",35.7,3150
"61",41.3,4400
"62",37.6,3600
"63",41.1,4050
"64",36.4,2850
"65",41.6,3950
"66",35.5,3350
"67",41.1,4100
"68",35.9,3050
"69",41.8,4450
"70",33.5,3600
"71",39.7,3900
"72",39.6,3550
"73",45.8,4150
"74",35.5,3700
"75",42.8,4250
"76",40.9,3700
"77",37.2,3900
"78",36.2,3550
"79",42.1,4000
"80",34.6,3200
"81",42.9,4700
"82",36.7,3800
"83",35.1,4200
"84",37.3,3350
"85",41.3,3550
"86",36.3,3800
"87",36.9,3500
"88",38.3,3950
"89",38.9,3600
"90",35.7,3550
"91",41.1,4300
"92",34,3400
"93",39.6,4450
"94",36.2,3300
"95",40.8,4300
"96",38.1,3700
"97",40.3,4350
"98",33.1,2900
"99",43.2,4100
"100",35,3725
"101",41,4725
"102",37.7,3075
"103",37.8,4250
"104",37.9,2925
"105",39.7,3550
"106",38.6,3750
"107",38.2,3900
"108",38.1,3175
"109",43.2,4775
"110",38.1,3825
"111",45.6,4600
"112",39.7,3200
"113",42.2,4275
"114",39.6,3900
"115",42.7,4075
"116",38.6,2900
"117",37.3,3775
"118",35.7,3350
"119",41.1,3325
"120",36.2,3150
"121",37.7,3500
"122",40.2,3450
"123",41.4,3875
"124",35.2,3050
"125",40.6,4000
"126",38.8,3275
"127",41.5,4300
"128",39,3050
"129",44.1,4000
"130",38.5,3325
"131",43.1,3500
"132",36.8,3500
"133",37.5,4475
"134",38.1,3425
"135",41.1,3900
"136",35.6,3175
"137",40.2,3975
"138",37,3400
"139",39.7,4250
"140",40.2,3400
"141",40.6,3475
"142",32.1,3050
"143",40.7,3725
"144",37.3,3000
"145",39,3650
"146",39.2,4250
"147",36.6,3475
"148",36,3450
"149",37.8,3750
"150",36,3700
"151",41.5,4000
